627,Tymal Mills
628,Vishnu Vinod
629,Ben Stokes
630,Lockie Ferguson
631,Milind Tandon
632,Rahul Chahar
633,Rahul Tripathi
634,Saurabh Kumar
635,Washington Sundar
636,Mohammad Nabi
637,Mohammed Siraj
638,Rashid Khan
639,Ricky Bhui
640,Tanmay Agarwal
641,Dhruv Shorey
642,Kanishk Seth
643,Kshitiz Sharma
644,Nayaran Jagadeesan
645,KM Asif
646,Chaitanya Bishnoi
647,Monu Kumar
648,Lungi Ngidi
649,Mitchell Santner
650,Mark Wood
651,Prithvi Shaw
652,Manjot Kalra
653,Abhishek Sharma
654,Sandeep Lamichhane
655,Akshdeep Nath
656,Mayank Dagar
657,Manzoor Dar
658,Ben Dwarshuis
659,Mujeeb Ur Rahman
